"Crs.Name","Title","Sections.Offered","Terms.w.Sect","avg.Enroll","avg.Cap"
"ART-321","Visual Comm Advanced Studio",5,5,7.6,17.2
"ART-324","Picasso & 20th Century Art",1,1,29,25
"ART-325","Art of the Romantic Era",2,2,17.5,25
"ART-326","Rembrandt and 17TH-C Dutch Art",1,1,7,25
"ART-330","Figure Drawing",9,5,9.11,16
"ART-330.1","Figure Drawing",4,2,12.5,15
"ART-333","Figure Drawing",2,1,5,16
"ART-341","Modern Art: 1850-1940",2,2,27.5,25
"ART-342","Modern Art After 1940",5,5,24.6,25
"ART-351","Auguste Rodin & Mod Sculpture",2,2,12,25
"ART-355","Medieval Art History",1,1,17,25
"ART-361","Adv Studies: Drawing",2,2,3.5,5
"ART-365","Adv Studies: Mixed Media",2,2,4.5,3
"ART-366","Adv Studies: Painting",2,2,4,4
"ART-372","Adv Studies: Ceramics",2,2,2,3
"ART-385","Web Design",1,1,4,18
"ART-391","Advanced Studio Art",1,1,7,16
"ART-400","Senior Exhibition",8,7,10.12,18.25
"ART-411A","Senior Exhibition I",1,1,10,16
"ART-415","Professional Prac/Visual Arts",7,7,6.57,16
"ART-490","Visual Stds Portfolio/Assessmt",7,7,5.29,13.71
"ASN-302.2","SE Asia:Tradition& Transition",1,1,12,14
"ASN-305.1","China:Trade, Commerc, Culture",1,1,14,14
"ATH-101","Cultural Anthropology",8,8,33.12,35.62
"ATH-128","Spirit in Art & Culture",3,3,19.67,21.67
"ATH-202","Cultural Diversity",8,8,20.5,25.62
"ATH-206","Native North Americans",1,1,19,30
"ATH-249","Natives of South America",4,4,25,37.5
"ATH-300","Anthropology and Art",2,2,23,25
"ATH-302A","Cultural Diversity",4,4,20,18.75
"ATH-305","Culture Change & World Syst",4,4,25,26.25
"ATH-305","Culture Change& the World Syst",1,1,31,30
"ATH-306","Visual Anthropology",1,1,19,40
"ATH-308","Gender/Cross Cultural Perspect",2,2,23,30
"ATH-309","Cross-Cultl Approaches/Environ",4,4,28.25,30
"ATH-404","Theories in Anthroplogy",4,4,15.25,26.25
"ATH-490","Seminar in Social Research",2,2,11,20
"ATHSOC-290","Seminar in Social Research",6,5,8.33,22.5
"ATHSOC-490","Ath/Soc Senior Seminar",4,4,7,20
"ATHSOC-492","Anthro/Soc Portfolio",4,4,2.25,25
"ATHSOC-493","Human Service Portfolio",5,4,4.2,25
"BIO-102","Biology of Human Disease",5,5,21.6,19.2
"BIO-102L","Biology of Human Disease Lab",7,6,15.29,16
"BIO-104","Introduction to Human Anatomy",6,4,45.5,46.67
"BIO-105","Intro/Physiology of Exercise",4,4,32.25,28.5
"BIO-105L","Intro/Physiology Exercise Lab",4,4,31.75,28.5
"BIO-108","Human Genetics",2,2,19.5,20
"BIO-109","Biology of Reproduction",2,2,15,16
"BIO-109L","Biology/Reproduction Lab",1,1,12,16
"BIO-120","Frontiers in Biology",3,2,45.67,53.33
"BIO-120L","Frontiers in Biology Lab",8,2,18.12,20
"BIO-129","Murder, Medicine, & Magic",4,4,26.5,32
"BIO-140","Idaho Natural History",8,7,27.88,29.88
"BIO-140L","Idaho Natural History Lab",17,7,11.65,12.35
"BIO-145","Drugs, Brains, and Behavior",1,1,20,16
"BIO-145L","Drugs, Brains, & Behavior Lab",1,1,20,16
"BIO-159","Cellular Basis of Human Phys",7,7,26.14,33.57
"BIO-159L","Cell Basis of Human Phys Lab",13,7,14,16.85
"BIO-198","Biology Colloquium",8,8,7.25,46.25
"BIO-199T","The Biology of Cancer",1,1,18,30
"BIO-199T.4","Introduction to Neuroscience",1,1,12,32
"BIO-200","Frontier/Biology:Case Studies",1,1,8,10
"BIO-201","Molecules to Cells",16,7,35.25,45.5
"BIO-201","Molecules to Cells With Lab",8,1,35.62,36.5
"BIO-201L","Molecules to Cells Lab",27,7,17.04,22.81
"BIO-202","Organismal Biology",12,6,43.42,52.67
"BIO-202L","Organismal Biology",19,4,17.21,20
"BIO-202L","Organismal Biology Lab",12,2,16.25,21
"BIO-203","Ecology, Evolution & Diversity",7,7,33.57,38
"BIO-203L","Ecol, Evolution&diversity Lab",13,5,12.54,14
"BIO-203L","Ecol, Evolution/Diversity Lab",6,2,11.83,14
"BIO-210","Molecules to Cells",3,1,40,44
"BIO-210L","Molecules to Cell Research Lab",2,2,14,16
"BIO-220","Organismal Biology",2,1,46,50
"BIO-220L","Organismal Biology Lab",5,1,18.4,20
"BIO-221","Population& Ecosystem Biology",1,1,33,42
"BIO-221L","Population & Ecosystem Lab",3,1,11,14
"BIO-224","Human A&P I",4,4,68.5,75
"BIO-224L","Human A&P I Lab",15,4,18.27,20
"BIO-225","Human A&P II",2,2,67,76
"BIO-225","Human a & P II",2,1,32,40
"BIO-225L","Human A&P II Lab",11,3,18,21.45
"BIO-260","Diversity of Life",4,3,18.5,17.5
"BIO-260L","Diversity of Life Lab",3,3,19.67,18
"BIO-294","Bio 201 Course Assistant",1,1,4,4
"BIO-303","Human Anatomy",3,3,44.33,45.33
"BIO-303","Human Anatomy & Physiology I",1,1,48,48
"BIO-303L","Human A & P I Laboratory",2,1,24,24
"BIO-303L","Human Anatomy Lab",6,3,22.17,22.67
"BIO-304","Human Anatomy & Physiology II",1,1,46,48
"BIO-304","Human Physiology",3,3,36.33,48
"BIO-304L","Human A & P II Laboratory",2,1,23,24
"BIO-304L","Human Physiology Lab",10,3,17.9,24
"BIO-306","Conservation Biology",9,8,11.56,16
"BIO-311","Molecular Biotechnology",1,1,4,14
"BIO-311L","Molecular Biotechnology Lab",2,1,4,14
"BIO-316","Genetics",12,8,23.08,21.33
"BIO-317","Stream Ecology",1,1,11,14
"BIO-317L","Stream Ecology Lab",1,1,11,14
"BIO-319","Ichthyology",4,4,16.25,14
"BIO-319L","Ichthyology Lab",5,4,12.8,14
"BIO-326","Coastal Marine Ecology",2,2,16,18.5
"BIO-326L","Coastal Marine Ecology Lab",2,2,16,18.5
"BIO-330","Cell Biology",14,7,23.64,25.86
"BIO-330L","Cell Biology Lab",29,7,10.62,11.66
"BIO-331","Evolution",3,2,7.33,14
"BIO-331L","Evolution Laboratory",2,2,7,14
"BIO-339","Mammalogy",1,1,22,14
"BIO-339L","Mammalogy Lab",1,1,22,14
"BIO-345","Ecology",7,7,16,22
"BIO-345L","Ecology Lab",11,7,10.18,14
"BIO-346","Field Biology",2,2,13.5,17
"BIO-346.1","Field Biology Preparation",3,3,10.67,16.67
"BIO-349","Vertebrate Natural History",1,1,9,14
"BIO-349L","Vertebrate Natural History Lab",2,1,9,14
"BIO-354","Selected Topics: Human Anatomy",5,5,3,6
"BIO-354L","SelectTop:Human Anatomy Lab",8,5,1.88,3.25
"BIO-357","Molecular Biology",1,1,12,12
"BIO-360","Microbiology",7,7,37.71,41.14
"BIO-360L","Microbiology Lab",18,7,14.67,16
"BIO-361","Pathobiology",10,8,18.4,24
"BIO-365","Immunology",4,4,17.5,24
"BIO-371","Endocrinology",3,3,9,21.33
"BIO-372","Developmental Biology",2,2,4,18
"BIO-372L","Developmental Biology Lab",1,1,4,12
"BIO-374","Animal Physiology",8,8,20.75,23.25
"BIO-374L","Animal Physiology Lab",16,8,10.5,12.38
"BIO-376","Neurophysiology",2,2,10,18
"BIO-376L","Neurophysiology Lab",3,2,6.33,12
"BIO-377","Physiology of Extremes",1,1,4,12
"BIO-395","Research Methods/Techniques",10,9,6.2,9.8
"BIO-399T","Molecular Biology of Cancer",1,1,10,32
"BIO-399T.2","Neurobiology",1,1,15,32
"BIO-399T.2L","Neurobiology Lab",2,1,7.5,16
"BIO-400","BioSem:Evolution/Intermt West",1,1,6,16
"BIO-400","Biosem:biodiver/Hum Health",1,1,10,16
"BIO-450","Biology Capstone Seminar",14,13,13.36,16
"BIO-490","Human A&p I Lab Assistant",1,1,4,4
"BIO-490","Laboratory Assistant",46,11,1.98,4
"BIO-499","Senior Comprehensive Exam",13,13,13.08,49.69
"BUS-100","Introduction to Business",30,14,27.77,26
"BUS-130","Personal Finance",5,4,24.8,37
"BUS-130","Personal Finance: 2nd 6WKS",1,1,10,25
"BUS-150","Business Computer Applications",34,17,24.09,24.68
"BUS-151","Acc Bus Computer Apps 1st 6-WK",1,1,17,24
"BUS-151","Acc Bus Computer Apps 2nd 6-WK",1,1,3,25
"BUS-200","Small Business Management",6,6,26.83,25
"BUS-225","Principles of Management",10,7,27.9,23
"BUS-270","Principles of Economics",10,8,24.1,28
"BUS-299T","Agricultural Markets & Pricing",1,1,22,25
"BUS-299T","Business Comm and Negotiation",1,1,25,25
"BUS-299T","Business Comm. & Negotiations",1,1,12,25
"BUS-299T","Farm Management",2,1,17,25
"BUS-299T","Leadership in Business",1,1,22,25
"BUS-299T","Special Topics in Business",1,1,20,25
"BUS-325","Principles of Management",6,6,28.5,30.83
"BUS-330","Principles of Finance",15,15,21.73,23.93
"BUS-332","Financial Institutions",1,1,8,25
"BUS-340","International Business",4,4,18.5,25
"BUS-350","Management Science",13,13,20.54,23.62
"BUS-357","Organizational Behavior",2,2,11,25
"BUS-360","Principles of Marketing",15,15,26.27,25.93
"BUS-366","Marketing Communication",4,4,12.25,23.5
"BUS-370","Social Entrepreneur ENACTUS",1,1,16,25
"BUS-371","Social Innovation and Impact",1,1,15,25
"BUS-385.1","Management Information Systems",1,1,6,20
"BUS-391","Legal Environment",14,14,27.29,29.64
"BUS-391","Legal Environment of Business",1,1,31,30
"BUS-399T","International Business",1,1,11,25
"BUS-399T","Internnational Business Prep",1,1,12,13
"BUS-399T.6","International Business/France",1,1,12,15
"BUS-399T.7","International Business/France",1,1,12,16
"BUS-430","Advanced Financial Management",1,1,6,25
"BUS-432","Investment Theory & Practice",1,1,6,25
"BUS-432","Investment Theory& Practice",6,6,6.67,24.67
"BUS-438","Financial Problems",2,2,5,25
"BUS-444","International Finance",2,2,6,25
"BUS-451","Building Community Partnership",1,1,3,25
"BUS-453","Prin/Product & Ops Management",2,2,9,25
"BUS-453","Prin/Product& Ops Management",3,3,7.67,25
"BUS-460","Social Media Marketing",2,2,11.5,25
"BUS-461","Marketing Research",2,2,8.5,25
"BUS-466","Consumer Behavior",4,4,14.5,25
"BUS-469","Marketing Strategy",4,3,15.5,20
"BUS-483","Project Management",8,6,18.88,22.5
"BUS-491","Business& Accounting Capstone",1,1,42,40
"BUS-492","Business& Accounting Capstone",1,1,37,40
"BUS-492","Capstone: Junior Experience",11,7,15.18,16.73
"BUS-493","Capstone: Senior Seminar",7,7,20.57,24.14
"BUS-498","Executive Seminar",1,1,8,25
"BUS-499","Business & Accounting Capstone",6,6,17.17,25
"BUS-499T","Business Valuation",1,1,5,25
"BUS-499T","Equities Valuation",2,2,5,25
"BUS-499T","Equitites Valuation",1,1,5,5
"CHE-124","Forensic Science",2,2,24,24
"CHE-124L","Forensic Science Lab",3,3,24,24
"CHE-141","General Chemistry I",57,8,18.6,24
"CHE-141L","General Chemistry I Lab",10,2,21.4,24
"CHE-142","General Chemistry II",36,7,19,23.14
"CHE-142L","General Chemistry II Lab",8,2,22.62,23.5
"CHE-252","Analytical Chemistry I",6,6,12.67,21.5
"CHE-252","Quant Analysis & Equilibrium",2,2,12,18
"CHE-252L","Analytical Chemistry I Lab",6,6,12.67,22.17
"CHE-252L","Quant Analysis&equilibrium Lab",2,2,12,18
"CHE-301","Organic Chemistry",3,3,56,60
"CHE-301","Organic Chemistry I",5,5,42,52
"CHE-301L","Organic Chemistry I Lab",19,5,15.42,18.84
"CHE-301L","Organic Chemistry Lab",20,5,17,20
"CHE-302","Organic Chemistry",2,2,35,40
"CHE-302","Organic Chemistry II",6,5,27,41.33
"CHE-302L","Organic Chemistry II Lab",7,5,12.14,20.57
"CHE-302L","Organic Chemistry Lab",7,5,16.86,20.57
"CHE-352","Analytical Chemistry II",6,6,9.5,15.67
"CHE-352L","Analytical Chemistry Lab II",9,6,7.22,12.33
"CHE-394.4","SpecTop:Organic Spec Strct De",1,1,9,16
"CHE-395","Chemistry Research",15,10,1.6,8
"CHE-401","Chemical Dynamics",8,4,10,13
"CHE-401L","Chemical Dynamics Lab",7,4,10.71,13.14
"CHE-412","Biochemistry",7,7,33.71,29.71
"CHE-412L","Biochemistry Laboratory",7,7,9.29,11.86
"CHE-420","Inorganic Chemistry",3,3,5.33,14
"CHE-420L","Inorganic Chemistry Lab",3,3,5.33,14
"CHE-464","Physical Chemistry I",1,1,10,12
"CHE-464L","Physical Chemistry I Lab",1,1,10,12
"CHE-465","Physical Chemistry II",1,1,9,12
"CHE-465L","Physical Chemistry II Lab",2,1,9,12
"CHE-490","Laboratory Assistant",5,4,1,4
"CHE-495","Chemistry Research",1,1,1,16
"CHE-499T","Capstone Experience in Chem",1,1,4,16
"CHE-499T","Free Radicals in Organic Chem",2,1,4,10
"CHI-101","Chinese Language I",2,1,4,20
"CHI-199T","Beginning Chinese Review",1,1,10,12
"CHI-199T","Chinese Gram & Phonetics Rev",1,1,6,20
"CHI-199T","Chinese Language & Culture I",2,1,7,20
"CHI-199T","ST: Chinese Lang & Culture",1,1,3,20
"CHI-199T","ST: Chinese Lang & Culture II",2,1,6,20
"CHI-199T","Special Topics: Chinese",1,1,2,20
"CSC-150","Computer Science I",29,15,15.62,20.55
"CSC-151","Computer Science II",8,4,8,20
"CSC-152","Computer Science II",4,4,14,20
"CSC-160","Intro to Computer Architecture",4,4,15.25,22
"CSC-231","Computer Arch& Assembl Lang I",1,1,8,25
"CSC-232","Special Programming Languages",1,1,8,20
"CSC-235","Programming Languages",3,3,11,22.67
"CSC-270","Applied Databases",4,4,14.75,18
"CSC-331","Computer Arch& Assembl Lang II",1,1,4,20
"CSC-333","Data Structure& Algorithms",1,1,6,20
"CSC-340","Design & Analysis of Algorithm",2,2,13,22
"CSC-350","Formal Languages and Automata",2,2,7,25
"CSC-440","Intro to Operating Systems",1,1,4,20
"CSC-455","Numerical Computation",2,2,3.5,24.5
"CSC-480","Software Eng & Sr. Design I",4,4,4.25,23.5
"CSC-481","Software Eng & Sr Design II",1,1,4,10
"CSC-482","Software Eng & Sr Design III",3,3,5.33,24.67
"CSC-490","Topics in Computer Science",2,2,6.5,22
"ECN-200","Principles of Economics",8,5,23.62,24.5
"ECN-299T","Agricultural Markets & Pricing",1,1,7,25
"ECO-271","Principles of Microeconomics",1,1,59,99
"ECO-272","Principles of Macroeconomics",1,1,45,60
"EDU-100","Self & Schooling",2,2,5,25
"EDU-202","Introduction to Teaching",17,15,18.53,26.47
"EDU-249","Researching Schools",1,1,6,25
"EDU-253","Language Development& Literacy",4,4,6.5,25
"EDU-300","Schools & Society",4,3,15.25,25
"EDU-300","Schools and Society",2,2,7.5,25
"EDU-301","Foundations of Schooling",15,15,13.2,25
"EDU-304","Literacy Development",7,7,11.14,25
"EDU-305","Literacy in Content Areas",13,13,11.08,25
"EDU-306","Writing Process and Assessment",3,3,11.33,25
"EDU-350","Lit for Children & Adolescents",3,3,19.33,25
"EDU-352","Diagnosis & Remediation",4,4,7,25
"EDU-398","Pract in FL/ESL/Bilingual Ed",5,5,1.2,9
"EDU-430","Teaching in a Diverse Society",7,7,20,25
"EDU-441","Curriculum & Instruction",5,5,22,25
"EDU-441","Curriculum and Instruction",2,2,12.5,25
"EDU-442","Teaching Exceptional Children",8,8,19.5,25
"EDU-444","2nd Lang Acquisition Theory",3,3,3,19.33
"EDU-445","For Lang, ESL& Bilingual Meth",2,2,3,25
"EDU-446","Linguistics/Language Teachers",4,4,6.5,20
"EDU-447","Foundations/Bilingual Ed/ESL",2,2,3,14.5
"EDU-451","Practicum in Reading",5,5,3.2,25
"EDU-501","Teaching in a Diverse Society",2,2,10.5,25
"EDU-501F","Teaching in a Diverse Society",2,2,9.5,25
"EDU-501W","Teaching in a Diverse Society",2,2,9.5,25
"EDU-502","Foundatins/Bilingual& ESL Ed",5,5,8.2,20.8
"EDU-503","2nd Lan Acquisitn Theory/Prac",3,3,10,25
"EDU-505","ESL & Bilingual Methods",4,4,9,25
"EDU-512","Linguistics",4,4,10.25,17.5
"EDU-520","Assessment for Learning",9,7,10.67,25
"EDU-530","Art Method/Elementary Teachers",7,7,7.14,25
"EDU-532","Lang Arts Meth/Elemen Teachers",7,7,7.14,23.57
"EDU-533","Soc Studies Meth/Elem Teachers",7,7,7.14,23.57
"EDU-534","Science Meth/Elemen Teachers",7,7,7.29,25
"EDU-540","Art Methods/Secondary Teachers",4,4,1.75,25
"EDU-541","Science Methods/Secon Teachers",5,5,1.4,25
"EDU-542","Math Methods/Second Teachers",6,6,1.5,25
"EDU-543","Soc Studies Meth/Sec Teachers",6,6,2.67,25
"EDU-544","Lang Arts Meths/Sec Teachers",6,6,2.33,25
"EDU-546","Music Methods for Elem Teacher",2,2,2,20
"EDU-593","Apprchs to Teaching Holocaust",1,1,5,50
"EDU-593","Bk Stdy:Understanding Poverty",1,1,19,50
"EDU-593","Book Study Book by Paul Tough",1,1,52,50
"EDU-593","Book Study: Filling the Holes",1,1,15,50
"EDU-593","Book Study: Switch",1,1,15,50
"EDU-593","Book Study:Mindset",1,1,45,50
"EDU-593","Boys Adrift Book Study",1,1,5,50
"EDU-593","Brain Rules: a Book Study",1,1,7,50
"EDU-593","C3wp",1,1,8,50
"EDU-593","CHAMPS: Classroom Managment",1,1,13,50
"EDU-593","Caldwell Summer Institute",1,1,78,50
"EDU-593","Classroom Mgnmt for Teachers",1,1,3,50
"EDU-593","Classroom Mngt & Comm Tools",1,1,66,50
"EDU-593","Common Core Writ Strategies",1,1,31,50
"EDU-593","Common Formative Assessments",1,1,9,50
"EDU-593","Conscious Classroom Mngment",1,1,50,50
"EDU-593","Coop Edu NW and MSD",1,1,11,50
"EDU-593","Core Reading Academy",1,1,4,50
"EDU-593","Creating Tribes Learning Comm",1,1,11,50
"EDU-593","Creating Tribes Lrning Comm",1,1,17,50
"EDU-593","Creating Tribes Lrning Commun.",1,1,18,50
"EDU-593","Creating a Trauma-Sensitive Cl",2,1,3,50
"EDU-593","Creative Schools Book Study",1,1,3,50
"EDU-593","Crucial Conversations",1,1,9,50
"EDU-593","Csd Core Reading Academy",1,1,44,50
"EDU-593","Daily Five: Dev Literacy Ind",1,1,11,50
"EDU-593","Data Analysis/Cross Collab",1,1,19,50
"EDU-593","Data Into Action",1,1,37,50
"EDU-593","Deer Flat Refuge Partnership",1,1,2,50
"EDU-593","Developing Ldrship Capacity",1,1,8,50
"EDU-593","Finding Plc Personal Strengths",1,1,20,999
"EDU-593","Fostering Resilient Learners",1,1,22,50
"EDU-593","Foundations for Educators",1,1,4,50
"EDU-593","Google Apps for Education",1,1,1,50
"EDU-593","High Impact Instruction: Frame",1,1,7,50
"EDU-593","Ident Details Danielson Frmwk",1,1,34,50
"EDU-593","Implementing Daily 5 in Classr",1,1,8,50
"EDU-593","Integrating Technology",1,1,4,50
"EDU-593","Interactive Whiteboard Lessons",1,1,5,50
"EDU-593","Introduction to Schoology",1,1,4,50
"EDU-593","Leading Difficult Conversation",1,1,9,50
"EDU-593","Learning & Teaching Holocaust",1,1,6,50
"EDU-593","Learning Through Feedback",1,1,12,50
"EDU-593","Lee Pesky Writing/ELA",1,1,31,50
"EDU-593","Monday Morning Mentoring",2,2,18,50
"EDU-593","Pesky Writing",1,1,13,50
"EDU-593","Project GLAD",5,3,23.4,50
"EDU-593","Project Glad",1,1,9,50
"EDU-593","Region III Assessment Literacy",1,1,3,50
"EDU-593","Strat Fot Tchg Ccws",1,1,21,50
"EDU-593","Teachscape Eval Model: Admin",1,1,9,50
"EDU-593","Teachscape-TET",1,1,34,50
"EDU-593","Tech Integration in the Clsrm",1,1,1,50
"EDU-593","Thinking Maps: Lang for Learn",1,1,3,50
"EDU-593","Tools for Teaching",1,1,5,50
"EDU-593","Visible Learn & Growth Mindset",1,1,23,50
"EDU-593","Visible Lrning Bk Study Ldrshp",1,1,8,50
"EDU-593","Web Design for Educators",1,1,9,50
"EDU-593","Young Adult Lit & App Biblio",1,1,8,50
"EDU-593.42","The Anatomy/Peace: Resolv Con",1,1,6,25
"EDU-593.46","Teach Like a Champion",1,1,19,25
"EDU-593.47","Transformative Assesmnt/Action",1,1,36,25
"EDU-593.48","JMS Ldrshp Team-School Plan",1,1,15,25
"EDU-593.49","Tribes II:School Learning Co",1,1,13,25
"EDU-593.50","Reading Excellence:Learn Team",2,1,8,25
"EDU-593.51","Induction/Primary Yrs Prog-IB",1,1,7,25
"EDU-593.52","IB: PYP Exhibition",1,1,1,25
"EDU-593.53","Total Participation Techniques",1,1,38,50
"EDU-593.54","Professional Learning Team",1,1,18,30
"EDU-593.55","Common Core State Stan Implemt",1,1,73,75
"EDU-593.62","Leveraging Read-Write Connect",1,1,5,25
"EDU-593.63","Contemporary Issues in Educ",1,1,1,25
"EDU-593.64","Book Study: What Great Teacher",1,1,35,25
"EDU-593.66","Teachscape-Reflective Teaching",1,1,37,25
"EDU-593.67","Com Core St Stnd Teach Toolbox",1,1,8,25
"EDU-593.68","Project GLAD",1,1,9,25
"EDU-593.69","Fred Jones Tools for Teaching",1,1,2,25
"EDU-593.71","Leadership of Educators",1,1,23,25
"EDU-593.72","Differentiation for Educators",1,1,14,25
"EDU-593.73","Expl Instr to Critical Think",1,1,37,25
"EDU-593.74","Integrating Tech in Classroom",1,1,14,25
"EDU-593.75","Web Design for Educators",1,1,11,25
"EDU-595","Elementary School Practicum",34,15,3,25
"EDU-595F","Elementary School Practicum",4,2,2.75,25
"EDU-595S","Elementary School Practicum",2,2,7,25
"EDU-595W","Elementary School Practicum",1,1,9,25
"EDU-596","Secondary School Practicum",46,15,2.28,25
"EDU-596F","Secondary School Practicum",1,1,6,25
"EDU-596S","Secondary School Practicum",2,2,6.5,25
"EDU-596W","Secondary School Practicum",1,1,6,25
"EDU-597","Internship Seminar",16,15,13.19,25
"EDU-597F","Internship Seminar",1,1,14,25
"EDU-597S","Internship Seminar",2,2,13.5,25
"EDU-597W","Internship Seminar",1,1,15,25
"EDU-598","Field Experience",2,2,4,25
"EDU-599","Practicum",3,3,10.67,25
"EDU-599","Practicum in ESL/Bilingual Ed",1,1,10,25
"EDU-681","Thesis Completion",12,8,1.42,8.33
"EDU-697","MAT Seminar",16,15,4.81,25
"EDU-697F","MAT Seminar",1,1,6,25
"EDU-697S","MAT Seminar",2,2,4.5,25
"EDU-697W","MAT Seminar",1,1,6,25
"EDU-698","M.Ed. Seminar",8,8,6.38,25
"EDUSPA-101","Spanish for Educators I",4,4,9.75,25
"EDUSPA-102","Spanish for Educators II",3,3,9.67,25
"EDUSPA-103","Spanish for Educators III",4,4,9.75,25
"ENG-100","College Writing",30,8,11.07,14.27
"ENG-210","Shakespearean Comedy",3,3,18.67,25
"ENG-211","Weird Shakespeare",3,3,20,25
"ENG-212","Introduction to Shakespeare",5,5,16.4,24.8
"ENG-213","Intro to Arthurian Literature",1,1,20,25
"ENG-218","World War I & Mod Literature",1,1,15,25
"ENG-219","Thief Making and Thief Taking",1,1,26,25
"ENG-219","Thief-making and Thief-taking",4,4,23.75,25
"ENG-220","Regional British Isles",1,1,11,25
"ENG-225","Asia Through Its Movies",5,5,22,25
"ENG-228","Closely Reading Poems",1,1,14,25
"ENG-230","Lit of the American West",1,1,11,25
"ENG-231","Native American Fiction",2,2,5.5,25
"ENG-232","The Literature of Slavery",2,2,23,25
"ENG-233","The Literature of Immigrants",2,2,19,25
"ENG-235","Prose & Cons",1,1,30,25
"ENG-235","Prose and Cons",1,1,25,25
"ENG-237","Money in Literature",3,3,23.67,25
"ENG-238","Old& New:Premod Text& Mod Res",1,1,24,25
"ENG-238","Old/New-Premod Texts/Mod Resp",1,1,12,25
"ENG-239","Visions of Environment",7,7,24.57,25
"ENG-240","The Fantastic in Japanese Lit",2,2,8,25
"ENG-245","Poetry Writing Workshop",4,4,14,18
"ENG-246","Fiction Writing Workshop",6,6,14.83,18
"ENG-247","Creat Nonfiction Writ Wkshp",5,5,15,18
"ENG-280","Theory & Method Study of Lit",4,4,13,25
"ENG-280","Theory& Method in Study of Lit",3,3,24.67,25
"ENG-306","The Seventeenth Century Lyric",1,1,11,25
"ENG-307","Origins & Traditions Engl Lit",2,2,12.5,22.5
"ENG-307","Sem:Origins&Tradition Eng Lit",1,1,15,25
"ENG-308","Rival Playwrights",1,1,13,25
"ENG-309","The Epic Tradition",1,1,21,25
"ENG-310","English Renaissance Literature",1,1,14,25
"ENG-311","Drama of Early Modern Europe",1,1,3,20
"ENG-315","Ghosties & Ghoulies",1,1,8,20
"ENG-315","Sem: Supernatural in Brit Lit",1,1,25,25
"ENG-315","Supernatural in British Lit",1,1,25,25
"ENG-316","The Brontes",2,2,16,25
"ENG-317","19th-Century British Fiction",2,2,18,22.5
"ENG-319","Seminar:19th-C Lit/Brit Isles",1,1,13,25
"ENG-323","Postcolonial Studies",2,2,16,25
"ENG-324","Narratives Against Oppression",1,1,22,25
"ENG-325","Constructing World Literatures",1,1,19,25
"ENG-325","Sem:Constructing World Lits",1,1,14,18
"ENG-329","Inventing America",1,1,16,25
"ENG-329","Sem: Inventing America",1,1,24,25
