sub,number,name,url,description,catalog
ART,205,Illustration and Visual Narrative,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/200/ART-205,"This course focuses on illustration and the visual narrative using both traditional and digital media. Topics include, but are not limited to, illustration for design and advertising, editorial illustration and photo illustration. The course will also cover illustration and sequencing for the visual narrative in which students will create and hand bind a simple artist book or graphic novel as their final project.  Prerequisite: Art-100, ART-130 recommended *Extra fees apply in most studio art courses.",2015
ART,207,Digital Video,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/200/ART-207,"This course covers the techniques, theories, and skills of creating video. Concepts such as story boarding, editing, lighting, and composition will be covered. Students will develop, shoot, and edit short video projects using Adobe CC Premiere.  Prerequisite: ART-201 or ART-107 *Extra fees apply in most studio art courses.",2015
ART,230,Introduction to Sculpture,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/200/ART-230,"A studio course exploring a variety of media  and techniques including modeling, carving, and assemblage.  Related lectures explore the historical context of sculptors' approach. *Extra fees apply in most studio art courses. See Course Schedule for details.",2015
ART,239,Ancient to Medieval,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/200/ART-239,An introduction to basic art history terms and concepts and a survey of major western art works from ancient egypt to fourteenth-century Europe. The course may include cross-cultural comparisons to place the works in the wider context of world art.,2015
ART,240,Renaissance to Modern,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/200/ART-240,A survey of key developments in the history of western art from fifteenth-century Europe to present. Attention will be given to technical developments and socio-political conditions effecting art production. Cross-cultural comparisons will be made.,2015
ART,294,Independent Study,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/200/ART-294,Readings and research in art history for those with no previous art history background.(See independent study guidelines.) Prequisites: Instructor permission.,2015
ART,299T,Special Topics in Art,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/200/ART-299T,nan,2015
ART,302,Drawing the Portrait,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/300/ART-302,"This studio course explores traditional and experimental approaches to portraiture.  Students will consider a variety issues including the factors contributing to a likeness, and the presentation of public versus private images of the sitter.  A variety of media will be used, and some art-critical reading may be required. *Extra fees apply in most studio art courses. See Course Schedule for details.   Prerequsites: ART 130",2015
ART,315,Printmaking,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/300/ART-315,"A study of monoprints, block prints, and intaglio prints.  A variety of techniques and concepts, including etching and dry point, will be explored. *Extra fees apply in most studio art courses. See Course Schedule for details. Prerequisites: ART-100 or ART-130",2015
ART,320,Advanced Studio Projects,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/300/ART-320,"This advanced studio art course emphasizes the development of skills to create a substantial body of work that demonstrates technical competence, understanding of the chosen medium, effective composition, stylistic and thematic unity, conceptual sophistication and an understanding of how the work relates to art historical traditions. Students may choose to explore in-depth ceramics, sculpture, drawing, painting, printmaking, or mixed media. Course will also include bi-weekly class critiques of student artwork, assigned readings, discussion of work of major artists, and written self-assessments. Before enrolling in this class, students must complete a basic studio course in their project's medium. Course may be repeated twice with a different project or medium. *Extra fees apply in most studio art courses.  Prerequisties: ART-130 or ART-132 and either ART-100, 101, 103, 125, 230, 302, or 315.",2015
ART,321,Visual Communication Advanced Studio,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/300/ART-321,"This advanced course focuses on the continued development of visual communications using traditional and/or digital methods. Students complete independent projects in digital imaging, illustration, book arts, digital video, print or web design. Course may be repeated twice for credit with different projects. Prerequisites: ART-201 and one of the following ART-107, ART-108, ART-205 OR ART-207 *Extra fees apply in most studio art courses.",2015
ART,324,Picasso and 20th Century Art,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/300/ART-324,"Students will examine the major contributions Pablo Picasso made to Cubism, Surrealism, and Modernist Abstraction.  Themes of eroticism, popular culture, violence, and political protest in the artist's work will also be considered. Some prior art history or upper-level humanities or social sciences course work is recommended.",2015
ART,325,Art of the Romantic Era,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/300/ART-325,"A survey of western art from the mid-eighteenth century to the Napoleonic period, focusing on the rise of Romantic individualism, and its importance for the art of our time. Some prior art history or upper-level humanities or social sciences course work is recommended.",2015
ART,326,Rembrandt and 17th Century Dutch Art,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/300/ART-326,"This course on Rembrandt van Rijn (1606-69) will examine his significance in light of such developments in the Dutch Republic as the rise in importance of group-portrait, landscape, genre, and still-life painting. Other issues to be considered include artistic patronage, images of nationalism, representations of domestic life, illusionism and art, the relationship between paintings and emblematic imagery, and Rembrandt's contributions to printmaking. Comparisons will also be made between Rembrandt's work and that produced by artists in Italy, Spain, and the Spanish Netherlands.",2015
ART,330,Figure Drawing,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/300/ART-330,A studio course focusing on traditional and innovative approaches to rendering the human figure.  A variety of media will be used. Prerequisite: Art-100.,2015
ART,341,Modern Art: 1850-1940,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/300/ART-341,"This course will cover the history of western art from Realism and Impressionism to the Surrealists. Movements to be considered include Post-Impressionism, Fauvism, German Expressionism,Cubism,Futurism,Constructivism, Dada and Surrealism. Some prior art history or upper-level humanities or social science course is recommended.",2015
ART,342,Modern Art After 1940,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/300/ART-342,"The course will cover the history of western art from the rise of New York as a new art-world capital to the more globally dispersed art-world of recent years. Some movements and developments to be considered include Abstract Expressionism, Pop Art, Minimalism, Earthworks, Conceptual Art, Feminist Art, Performance Art, Video Art, Installation Art, and developments generally termed ""Post-modernism"". Some prior art history or upper-level humanities or social science course is recommended.",2015
ART,351,Auguste Rodin and Modern Sculpture,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/300/ART-351,This course will survey Rodin's major sculptures such as The Gates of Hell and his monuments to important literary figures such as Honori de Balzac and Victor Hugo. It will consider Rodin's importance for later modern sculptors and his role in re-defining the nature of public sculpture. Some prior art history or upper-level humanities or social science course is recommended.,2015
ART,355,Medieval Art History,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/300/ART-355,"This course will explore the art of the medieval period from ca. 800 to 1400 CE in light of its historical, religious, political, and social contexts. Emphases will include the relationship between the sacred and the secular, patronage, and medieval conceptions of the natural world through the examination of architecture, stained glass, illuminated manuscripts, painting, monumental sculpture, and other media.",2015
ART,397,Internship,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/300/ART-397,"Specific internship projects which may include computer graphics, museum work, or various applied experiences in art. See internship guidelines.",2015
ART,399T,Speical Topics in Art,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/300/ART-399T,nan,2015
ART,400,Senior Exhibition,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/400/ART-400,"Each student develops a conceptually and formally unified body of work that will be displayed in the Rosenthal Gallery of Art. All students are responsible for publicizing,organizing and hanging the exhibition. Prerequisite: Instructor permission.",2015
ART,401,Senior Exhibit: Two Dimensional Media,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/400/ART-401,"Spring.  Prereq.: ART-100, ART-130 and declared art major with senior standing. Creation of a body of two dimensional work for the spring exhibition. Organizing, hanging and critiquing work, and related reading are also covered.  (INDEPENDENT WORK and FINE ARTS)",2015
ART,402,Senior Exhibit: Three Dimensional Media,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/400/ART-402,"Spring. Prereq.: ART-100, ART-130 and declared art major with senior standing. Creation of a body of three dimensional work for the spring exhibition. Organizing, hanging and critiquing work, and related reading are also covered. (INDEPENDENT WORK and FINE ARTS)",2015
ART,415,Professional Practices in Visual Arts,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/400/ART-415,"This course will cover professional practices in the visual arts. Topics will include display, matting, framing, documenting artwork and the creation of a portfolio. It may include guest lectures and visits to local studios, museums and galleries. Prerequisite:  Instructor permission.",2015
ART,490,Visual Studies Portfolio and Program Assessment,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/400/ART-490,"After completing fifteen credits of visual-studies courses, minors must enroll in the one-credit visual-studies portfolio course. Their portfolio will contain relevant materials such as exams, papers, and digital images of assignments, plus instructor comments. Students must include a 1000-1500-word essay describing the most important insights and skills developed during their course of study. The essay must also assess the strengths and weaknesses of the visual-studies minor. The portfolio will be graded Pass/Fail. Students should therefore take care from the time they begin the program to retain copies and images of work from courses comprising the visual-studies minor. This requirement applies to both the Humanities-and-Fine-Arts and the Social-Sciences PEAK minors.",2015
ART,494,Independent Study,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/400/ART-494,Approved reading and research studies in art history. (See independent study guidelines.) Prequisites:  Instructor permission,2015
ART,497,Internship,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/400/ART-497,"Specific internship projects which may include computer graphics, museum work, or various applied experiences in art. See internship guidelines.",2015
ART,499T,Special Topics in Art,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/400/ART-499T,nan,2015
ASN,302.1,Southeast Asia: Traditions and Transitions,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ASN-Asian-Studies/30000/ASN-302-1,"This course is a prerequisite for the winter off-campus study course ASN-302.2 of the same name. Preparation for off-campus study is emphasized through directed readings, discussion, and paper writing.",2015
ASN,302.2,Southeast Asia: Traditions and Transitions,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ASN-Asian-Studies/30000/ASN-302-2,"This course is an off-campus interdisciplinary study of Southeast Asian countries emphasizing history, culture and political economy. Over four weeks of the course are spent in Southeast Asia where cross-country study centers on thematic topics. The topics and countries visited vary from year-to-year according to the selected theme. Course readings typically include scholarly texts, personal memoirs, and travel literature. Prerquisites: ASN-302.1 and instructor permission.",2015
ASN,494,Independent Study,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ASN-Asian-Studies/400/ASN-494,"Research for capstone senior project to be conducted in consultation with a project advisor. Students must design, propose, and execute an original project to be presented formally to Asian Studies faculty and students. See independent study guidlines. Prerequisites: Instructor permission.",2015
ATH,101,Cultural Anthropology,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATH-Anthropology/100/ATH-101,"An introductory course in cultural anthropology. A comparative study of communities and small scale societies that lie on the periphery of the industrial world, focusing on their life, economic/political institutions and religious/artistic traditions, using various models of interpretation.",2015
ATH,128,Understanding Spirit in Art and Culture,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATH-Anthropology/100/ATH-128,"This course will examine a variety of cultural groups where artistic, spiritual, and cultural experience are integrated or woven into the fabric of life as a whole.  It will focus on Native American and other cultures where ritual, art, and daily life are not compartmentalized. The course will also include cross-cultural case studies.(Cross-listed as ART-128)",2015
ATH,199T,Special Topics in Anthropology,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATH-Anthropology/100/ATH-199T,nan,2015
ATH,202,Cultural Diversity,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATH-Anthropology/200/ATH-202,"An examination of the major US ethnic cultures through the perspective of Cultural Anthropology. The course work will include selected case studies and theoretical constructs, including the concepts of culture, ethnic identity, and cultural pluralism.",2015
ATH,206,Native North Americans,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATH-Anthropology/200/ATH-206,"A survey of Native American Indian cultures in different regions of North America, including their social-economic structures, world views, artistic traditions, and their histories before and after European contact.",2015
ATH,249,Natives of South America,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATH-Anthropology/200/ATH-249,"An examination of the indigenous peoples and their cultures in the Amazon and the Andes, including contemporary economics, religion, social organization, politics, the arts, and issues of current concern.",2015
ATH,260,Peoples of the Andes,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATH-Anthropology/200/ATH-260,"An in-depth examination of the contemporary indigenous and urban people of the Andes and their cultures, including contemporary economics, religion, politics, social organization the arts and issues of current concern.  As part of the immersion experience, students will focus on Cusco, Peru, and will integrate their learning with field participation and experience in Cusco and nearby indigenous villages, markets, artisan workshops, and religious festivals.",2015
ATH,294,Independent Study,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATH-Anthropology/200/ATH-294,"Readings in a specific area of anthropology, requiring a formal paper summarizing the study. See independent study guidelines. Prerequisites: One course in anthropology",2015
ATH,299T,Special Topics in Anthropology,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATH-Anthropology/200/ATH-299T,nan,2015
ATH,300,Anthropology and Art,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATH-Anthropology/300/ATH-300,"A comparative study of aesthetics, artistic creation and the role of image, art and artist in cultural context.",2015
ATH,302,"Ritual, Myth, and World View",http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATH-Anthropology/300/ATH-302,"An anthropological approach to religious meaning and ritual in small-scale societies and ethnic subcultures. The course analyzes theories of religion, myth, and ritual by comparing cultures in various areas of the world, including contemporary crisis and change.",2015
ATH,305,Culture Change and the World System,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATH-Anthropology/300/ATH-305,An anthropological approach to culture change and development. The course will examine cultural systems affected by development from colonial and post-colonial agencies and the impact of those changes in small-scale and state societies.,2015
ATH,306,Visual Anthropology,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATH-Anthropology/300/ATH-306,"A study of social documentary photography and ethnography, which examines society and culture through visual images rather than words or written texts.  Students will learn the basics of photography and anthropology, and undertake ethnographic asignments.",2015
ATH,308,Gender in Cross-Cultural Perspective,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATH-Anthropology/300/ATH-308,"An examination of the concept of gender, or the meaning of being and behaving male or female through cross-cultural case studies. The course will include cultural roles and statuses and their structural positions and representations.",2015
ATH,309,Cross-Cultural Approaches to Environment,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATH-Anthropology/300/ATH-309,"A cross-cultural examination of environmental development and ideological constructs from selected case studies of non-industrial societies in the Americas and Africa. The course will examine adaptation to the environment as shaping social structure and ideology, as well as how ideology shapes the society's environmental use.",2015
ATH,360,Andean Prehistory and Culture,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATH-Anthropology/300/ATH-360,"An in-depth examination of the pre-Columbian cultures and civilizations of the Andes, focusing on Cusco and the Incan Empire and then working backward to preceding civilizations and forward to what cultural elements have continued into contemporary Andean culture.  As part of the immersion experience, students will visit all important Incan archaeological sites, including Machu Piccho, and several pre-Incan sites.",2015
ATH,399T,Special Topics in Anthropology,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATH-Anthropology/300/ATH-399T,nan,2015
ATH,404,Theories in Anthropology,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATH-Anthropology/400/ATH-404,"An examination of the development of theories of culture from classical models through 20th century American, British, and French anthropological thought to recent cultural interpretations that are emerging in our own time.  Prerequisites: ATH-101 and Sophomore Standing",2015
ATH,494,Independent Study,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATH-Anthropology/400/ATH-494,"Intensive reading or field research in a specific area of anthropology, requiring a formal paper summarizing the study. See independent study guidelines",2015
ATH,497,Internship,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATH-Anthropology/400/ATH-497,Supervised work or research in a social service agency with approval of the department. A term paper or formal report is required. Reading assignments may be required. See internship guidelines. Prerequisites: Instructor permission.,2015
ATH,499T,Special Topics in Anthropology,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATH-Anthropology/400/ATH-499T,nan,2015
ATHSOC,290,Seminar in Social Research,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATHSOC-Anthropology-Sociology/200/ATHSOC-290,An introduction to the methods of qualitative field research and quantitative data analysis. Students will formulate and carry out an independent research project and formally present the results.  Prerequisites: SOC-100 or ATH-100,2015
ATHSOC,490,Anthropology/Sociology Senior Seminar,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATHSOC-Anthropology-Sociology/400/ATHSOC-490,"A culmination of each student's educational developmental trajectory which should connect to their intended career or graduate school; students will complete individualized portfolio projects combining methods, data and theory and present their work to the department. Each Anthropology/Sociology major must complete the Senior Seminar; however, departmental honors or a significant internship (if it's the first) may substitute.",2015
ATHSOC,492,Anthropology/Sociology Portfolio,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATHSOC-Anthropology-Sociology/400/ATHSOC-492,"Students who minor in anthropology/sociology will enroll in ATHSOC-492 in their final semester before graduation. Six weeks before the end of the semester they will submit an electronic portfolio of relevant work completed, such as exams and papers (up to 3 in total), and an assessment of the program. This assessment of the most important academic lessons learned and skills acquired during their course of study will be 1000 to 1500 words in length. The evaluation must also provide an overview of the strengths and weaknesses of the Anthropology/Sociology PEAK minor. The portfolio will be graded Pass/Fail.",2015
ATHSOC,493,Human Service Portfolio,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATHSOC-Anthropology-Sociology/400/ATHSOC-493,"Students who minor in Human Services will enroll in ATHSOC-493 in their final semester before graduation. Six weeks before the end of the semester they will submit an electronic portfolio of relevant work completed, such as exams and papers (up to 3 in total), and an assessment of the program. This assessment of the most important academic lessons learned and skills acquired during their course of study will be 1000 to 1500 words in length. The evaluation must also provide an overview of the strengths and weaknesses of the Human Services PEAK minor. The portfolio will be graded Pass/Fail.",2015
ATHSOC,494,Independent Study,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATHSOC-Anthropology-Sociology/400/ATHSOC-494,"Intensive reading or field research in a specific area of sociology, requiring a formal paper summarizing the study. See independent study guidelines.  Prerequisite: Instructor permission required",2015
ATHSOC,497,Internship,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ATHSOC-Anthropology-Sociology/400/ATHSOC-497,Supervised work or research in a social service agency with approval of the department. A term paper or formal report is required. Reading assignments may be required. See internship guidelines.(See Internship guidelines) Instructor permission required.,2015
